Year,Country,Region,Ecosystem type,Units,Unit measure,Unit multiplier,GeoCode,Value
2015,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),N92000002,99976.0
2015,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),N92000002,81.9683690117981
2019,Northern Ireland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),N92000002,121969.0
2019,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),N92000002,99976.0
2019,Northern Ireland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),N92000002,81.9683690117981
1999,Scotland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,1583872.0
1999,Scotland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,739305.0
1999,Scotland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,46.6770673387749
2003,Scotland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,1583872.0
2003,Scotland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,1041805.0
2003,Scotland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,65.7758328955875
2007,Scotland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,1583872.0
2007,Scotland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,1064356.0
2007,Scotland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,67.1996221916923
2011,Scotland,,,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,1583872.0
2011,Scotland,,,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,1178117.0
2011,Scotland,,,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,74.3820839057702
